date,content,source,user_name,followers,handle,location,country,link,tags,replies,reposts,likes,views,included_url
2025-01-21,"The gloves are off at Winter Lung 2025!Who will win the Medical Crossfire debates? Join us next week to find out—register now: https://tinyurl.com/5n7y54bu
#WLC25 #LCSM #LungCancer #gotoper 
@BalazsHalmosMD
 @SusanScottMD
 @GRSimonMD
 @CoreyLangerMD",x.com,PER,3126,@gotoPER,New York,United States,https://x.com/gotoPER/status/1881767945443135840,"#WLC25, #LCSM,  #LungCancer, #gotoper ",0,1,4,1400,https://event.gotoper.com/event/c4d5d492-9bbb-4d1c-b070-79b624124de0/overview?RefId=2025_PER_WLC_Social_Faculty_MXF&utm_campaign=2025_PER_WLC_Social_Faculty_MXF&utm_medium=social&utm_source=social
2025-01-27,"1 week to go for  @gotoPER Winter Lung Cancer Conference 
Jan 31–Feb 2
Margaritaville
Hollywood, FL
Register for FREE using my last name RODRÍGUEZ as a discount code and don’t miss this #CME opportunity! https://bit.ly/3CS06Gf #gotoPER#WLC25 #lungcancer #winterlung",x.com,Dr. Estela Rodriguez,7109,@Latinamd,"Miami, FL",United States,https://x.com/Latinamd/status/1883747773746704629,"#gotoPER, #WLC25, #lungcancer, #winterlung",2,4,14,1300,https://event.gotoper.com/event/c4d5d492-9bbb-4d1c-b070-79b624124de0/regProcessStep1:3b955580-e298-4008-9bde-f09067f3bfed?RefId=2025_PER_WLC%20Faculty%20Socials&utm_campaign=winter%2520lung&utm_medium=social&utm_source=social
2025-01-28,"Registration is open for the 22nd Annual PER Winter Lung Cancer Conference - 
@Latinamd
 
@gotoPER
 

https://oncodaily.com/blog/estela-rodriguez233452

#Cancer #OncoDaily #MedEd #MedX #MedNews #Medicine #Oncology #LungCancer #LCSM",x.com,OncoDaily,6074,@oncodaily,"Boston, MA",United States,https://x.com/oncodaily/status/1884398554669613557,"#Cancer, #OncoDaily, #MedEd #MedX, #MedNews, #Medicine, #Oncology, #LungCancer, #LCSM",0,0,12,250,https://oncodaily.com/blog/estela-rodriguez233452
2025-01-30,"Goodbye winter chill; hello sunshine & science! Join us on site for the 22nd Annual Winter Lung Cancer Conference from Jan 31-Feb 2, where we'll be covering the latest in lung cancer research. Reach out to our editor on the ground to share your work! 
@gotoPER #WLC25 #lcsm",x.com,OncLive.com,46300,@OncLive,New Jersey,United States,https://x.com/OncLive/status/1885130880584233369,"#WLC25, #lcsm",0,0,0,560,
2025-01-30,"Our Head of Scientific Affairs, Nava Almog, and Director of Scientific Affairs, Anna Manasherov, are attending the 22nd Annual Winter Lung Cancer Conference this week! 

 Say hello if you're there! 

#LungCancerConference #PrecisionOncology #NSCLC",x.com,OncoHost,899,@OncoHost,,"Isreal, United States",https://x.com/OncoHost/status/1884995084921237815,"#LungCancerConference, #PrecisionOncology, #NSCLC",0,0,0,46,
2025-01-31,"We have landed in sunny Hollywood, Florida for the 22nd Annual Winter Lung Cancer Conference! Follow along on our site for exclusive #lcsm insights all weekend! 
@gotoPER
 #gotoPER #WLC25 
https://onclive.com/conference/winter-lung",x.com,OncLive.com,46300,@OncLive,New Jersey,United States,https://x.com/OncLive/status/1885356869448810906,"#gotoPER, #WLC25, #lcsm ",0,0,0,237,https://www.onclive.com/conference/winter-lung
2025-01-31,22nd Annual Winter Lung Cancer Conference® Satellite Symposia Live Stream,x.com,PER,3126,@gotoPER,New York,United States,https://x.com/gotoPER/status/1885380127770784101,,0,0,0,42,
2025-01-30,"Conferences are better when they:

1. Are shared with amazing colleagues
2. Are by the beach 

@gotoPER
 
@BrunaPellini",x.com,"Coral Olazagasti, MD",2964,@COlazagasti,"Miami, FL",United States,https://x.com/COlazagasti/status/1885138102240362654,,0,1,34,1120,
2025-01-31,"Team Catalyst is at  @gotoPER's Winter Lung Cancer conference #WLC25. Visit our table to learn more about paraneoplastic syndromes; including an important link between the rare neuromuscular disease, Lambert-Eaton myasthenic syndrome (#LEMS), and small cell lung cancer (#SCLC).",x.com,Catalyst,839,@CatalystForRare,"Coral Gables, FL",United States,https://x.com/CatalystForRare/status/1885402744703357061,"#WLC25, #LEMS, #SCLC",0,0,0,17,
2025-01-31,Starting  @gotoPER #WinterLung25 #WLC25 with a great panel of #WomeninThoracicOncology discussing current and future treatments for +ALK #lungcancer Dr Zofia Piotrowska Dr Alice Shaw @BrunaPellini #lcsm,x.com,Dr. Estela Rodriguez,7109,@Latinamd,"Miami, FL",United States,https://x.com/Latinamd/status/1885404488917233694,"#WinterLung25, #WLC25, #WomeninThoracicOncology, #lungcancer, #lcsm",0,2,8,236,
